,wavelength,amplitude
788,852.85,3052
789,852.918,3081
790,852.985,3049
791,853.052,3085
792,853.119,3095
793,853.186,3101
794,853.253,3084
795,853.32,3087
796,853.387,3091
797,853.454,3101
798,853.521,3137
799,853.588,3093
800,853.655,3094
801,853.722,3099
802,853.789,3081
803,853.856,3099
804,853.924,3105
805,853.991,3084
806,854.058,3115
807,854.125,3106
808,854.192,3116
809,854.259,3133
810,854.326,3104
811,854.393,3112
812,854.46,3088
813,854.527,3111
814,854.594,3095
815,854.661,3083
816,854.728,3100
817,854.795,3127
818,854.863,3118
819,854.93,3109
820,854.997,3093
821,855.064,3094
822,855.131,3076
823,855.198,3113
824,855.265,3105
825,855.332,3112
826,855.399,3110
827,855.466,3102
828,855.533,3107
829,855.6,3093
830,855.667,3150
831,855.734,3088
832,855.801,3080
833,855.869,3069
834,855.936,3089
835,856.003,3078
836,856.07,3084
837,856.137,3105
838,856.204,3098
839,856.271,3089
840,856.338,3101
841,856.405,3113
842,856.472,3096
843,856.539,3111
844,856.606,3112
845,856.673,3079
846,856.74,3095
847,856.808,3073
848,856.875,3068
849,856.942,3048
850,857.009,3057
851,857.076,3079
852,857.143,3054
853,857.21,3050
854,857.277,3055
855,857.344,3079
856,857.411,3076
857,857.478,3076
858,857.545,3072
859,857.612,3076
860,857.679,3073
861,857.746,3067
862,857.814,3111
863,857.881,3083
864,857.948,3086
865,858.015,3089
866,858.082,3066
867,858.149,3078
868,858.216,3057
869,858.283,3056
870,858.35,3079
871,858.417,3079
872,858.484,3051
873,858.551,3060
874,858.618,3057
875,858.685,3045
876,858.753,3064
877,858.82,3088
878,858.887,3066
879,858.954,3072
880,859.021,3056
881,859.088,3061
882,859.155,3072
883,859.222,3070
884,859.289,3046
885,859.356,3070
886,859.423,3064
887,859.49,3089
888,859.557,3044
889,859.624,3056
890,859.691,3079
891,859.759,3065
892,859.826,3053
893,859.893,3054
894,859.96,3123
895,860.027,3081
896,860.094,3069
897,860.161,3044
898,860.228,3072
899,860.295,3077
900,860.362,3082
901,860.429,3084
902,860.496,3066
903,860.563,3054
904,860.63,3075
905,860.698,3059
906,860.765,3071
907,860.832,3063
908,860.899,3060
909,860.966,3072
910,861.033,3076
911,861.1,3071
912,861.167,3080
913,861.234,3056
914,861.301,3058
915,861.368,3099
916,861.435,3076
917,861.502,3061
918,861.569,3099
919,861.636,3081
920,861.704,3091
921,861.771,3087
922,861.838,3076
923,861.905,3076
924,861.972,3087
925,862.039,3063
926,862.106,3157
927,862.173,3109
928,862.24,3101
929,862.307,3111
930,862.374,3089
931,862.441,3104
932,862.508,3095
933,862.575,3111
934,862.643,3081
935,862.71,3089
936,862.777,3119
937,862.844,3122
938,862.911,3130
939,862.978,3124
940,863.045,3120
941,863.112,3090
942,863.179,3104
943,863.246,3091
944,863.313,3110
945,863.38,3088
946,863.447,3099
947,863.514,3099
948,863.581,3096
949,863.649,3098
950,863.716,3094
951,863.783,3095
952,863.85,3089
953,863.917,3120
954,863.984,3100
955,864.051,3110
956,864.118,3096
957,864.185,3098
958,864.252,3139
959,864.319,3106
960,864.386,3086
961,864.453,3091
962,864.52,3089
963,864.588,3097
964,864.655,3093
965,864.722,3073
966,864.789,3100
967,864.856,3115
968,864.923,3097
969,864.99,3084
970,865.057,3102
